"collection_id","site","species","length_sl_mm"
"NFM08-142","2","Lagodon rhomboides",14.29
"NFM08-142","2","Lagodon rhomboides",14.7
"NFM08-142","2","Lagodon rhomboides",15.35
"NFM08-142","2","Lagodon rhomboides",16.15
"NFM08-142","2","Lagodon rhomboides",16.99
"NFM08-142","2","Lagodon rhomboides",17.19
"NFM08-142","2","Lagodon rhomboides",17.43
"NFM08-142","2","Lagodon rhomboides",20.21
"NFM08-142","2","Lagodon rhomboides",21.53
"NFM08-142","2","Leiostomus xanthurus",18.63
"NFM08-142","2","Leiostomus xanthurus",20.4
"NFM08-143","3","Brevoortia patronus",23.58
"NFM08-143","3","Fundulus similis",31.44
"NFM08-143","3","Fundulus similis",50.22
"NFM08-143","3","Fundulus similis",52.9
"NFM08-143","3","Fundulus similis",54.7
"NFM08-143","3","Fundulus similis",66.22
"NFM08-143","3","Fundulus similis",69.19
"NFM08-143","3","Lagodon rhomboides",14.66
"NFM08-143","3","Lagodon rhomboides",16.77
"NFM08-143","3","Lagodon rhomboides",18.61
"NFM08-146","6","Brevoortia patronus",14.45
"NFM08-146","6","Brevoortia patronus",14.28
"NFM08-146","6","Brevoortia patronus",14.67
"NFM08-146","6","Brevoortia patronus",15.05
"NFM08-146","6","Brevoortia patronus",16.08
"NFM08-146","6","Brevoortia patronus",16.31
"NFM08-146","6","Brevoortia patronus",16.47
"NFM08-146","6","Brevoortia patronus",16.7
"NFM08-146","6","Brevoortia patronus",16.76
"NFM08-146","6","Brevoortia patronus",16.83
"NFM08-146","6","Brevoortia patronus",17.11
"NFM08-146","6","Brevoortia patronus",17.14
"NFM08-146","6","Brevoortia patronus",17.14
"NFM08-146","6","Brevoortia patronus",17.15
"NFM08-146","6","Brevoortia patronus",17.4
"NFM08-146","6","Brevoortia patronus",17.45
"NFM08-146","6","Brevoortia patronus",17.52
"NFM08-146","6","Brevoortia patronus",17.52
"NFM08-146","6","Brevoortia patronus",17.62
"NFM08-146","6","Brevoortia patronus",17.62
"NFM08-146","6","Brevoortia patronus",17.66
"NFM08-146","6","Brevoortia patronus",17.69
"NFM08-146","6","Brevoortia patronus",17.81
"NFM08-146","6","Brevoortia patronus",17.83
"NFM08-146","6","Brevoortia patronus",17.83
"NFM08-146","6","Brevoortia patronus",17.83
"NFM08-146","6","Brevoortia patronus",17.84
"NFM08-146","6","Brevoortia patronus",17.84
"NFM08-146","6","Brevoortia patronus",18.01
"NFM08-146","6","Brevoortia patronus",18.05
"NFM08-146","6","Brevoortia patronus",18.09
"NFM08-146","6","Brevoortia patronus",18.1
"NFM08-146","6","Brevoortia patronus",18.18
"NFM08-146","6","Brevoortia patronus",18.19
"NFM08-146","6","Brevoortia patronus",18.21
"NFM08-146","6","Brevoortia patronus",18.3
"NFM08-146","6","Brevoortia patronus",18.34
"NFM08-146","6","Brevoortia patronus",18.34
"NFM08-146","6","Brevoortia patronus",18.34
"NFM08-146","6","Brevoortia patronus",18.36
"NFM08-146","6","Brevoortia patronus",18.37
"NFM08-146","6","Brevoortia patronus",18.41
"NFM08-146","6","Brevoortia patronus",18.48
"NFM08-146","6","Brevoortia patronus",18.49
"NFM08-146","6","Brevoortia patronus",18.5
"NFM08-146","6","Brevoortia patronus",18.5
"NFM08-146","6","Brevoortia patronus",18.5
"NFM08-146","6","Brevoortia patronus",18.53
"NFM08-146","6","Brevoortia patronus",18.54
"NFM08-146","6","Brevoortia patronus",18.54
"NFM08-146","6","Brevoortia patronus",18.55
"NFM08-146","6","Brevoortia patronus",18.55
"NFM08-146","6","Brevoortia patronus",18.64
"NFM08-146","6","Brevoortia patronus",18.65
"NFM08-146","6","Brevoortia patronus",18.66
"NFM08-146","6","Brevoortia patronus",18.66
"NFM08-146","6","Brevoortia patronus",18.69
"NFM08-146","6","Brevoortia patronus",18.71
"NFM08-146","6","Brevoortia patronus",18.72
"NFM08-146","6","Brevoortia patronus",18.74
"NFM08-146","6","Brevoortia patronus",18.79
"NFM08-146","6","Brevoortia patronus",18.8
"NFM08-146","6","Brevoortia patronus",18.83
"NFM08-146","6","Brevoortia patronus",18.85
"NFM08-146","6","Brevoortia patronus",18.86
"NFM08-146","6","Brevoortia patronus",18.89
"NFM08-146","6","Brevoortia patronus",18.89
"NFM08-146","6","Brevoortia patronus",18.96
"NFM08-146","6","Brevoortia patronus",18.97
"NFM08-146","6","Brevoortia patronus",19.01
"NFM08-146","6","Brevoortia patronus",19.02
"NFM08-146","6","Brevoortia patronus",19.03
"NFM08-146","6","Brevoortia patronus",19.03
"NFM08-146","6","Brevoortia patronus",19.06
"NFM08-146","6","Brevoortia patronus",19.14
"NFM08-146","6","Brevoortia patronus",19.2
"NFM08-146","6","Brevoortia patronus",19.22
"NFM08-146","6","Brevoortia patronus",19.26
"NFM08-146","6","Brevoortia patronus",19.28
"NFM08-146","6","Brevoortia patronus",19.32
"NFM08-146","6","Brevoortia patronus",19.35
"NFM08-146","6","Brevoortia patronus",19.38
"NFM08-146","6","Brevoortia patronus",19.42
"NFM08-146","6","Brevoortia patronus",19.42
"NFM08-146","6","Brevoortia patronus",19.49
"NFM08-146","6","Brevoortia patronus",19.55
"NFM08-146","6","Brevoortia patronus",19.58
"NFM08-146","6","Brevoortia patronus",19.78
"NFM08-146","6","Brevoortia patronus",19.83
"NFM08-146","6","Brevoortia patronus",19.87
"NFM08-146","6","Brevoortia patronus",19.87
"NFM08-146","6","Brevoortia patronus",19.89
"NFM08-146","6","Brevoortia patronus",19.89
"NFM08-146","6","Brevoortia patronus",19.97
"NFM08-146","6","Brevoortia patronus",19.99
"NFM08-146","6","Brevoortia patronus",19.99
"NFM08-146","6","Brevoortia patronus",20.03
"NFM08-146","6","Brevoortia patronus",20.04
"NFM08-146","6","Brevoortia patronus",20.06
"NFM08-146","6","Brevoortia patronus",20.08
"NFM08-146","6","Brevoortia patronus",20.08
"NFM08-146","6","Brevoortia patronus",20.09
"NFM08-146","6","Brevoortia patronus",20.37
"NFM08-146","6","Brevoortia patronus",20.37
"NFM08-146","6","Brevoortia patronus",20.4
"NFM08-146","6","Brevoortia patronus",20.41
"NFM08-146","6","Brevoortia patronus",20.5
"NFM08-146","6","Brevoortia patronus",20.54
"NFM08-146","6","Brevoortia patronus",20.58
"NFM08-146","6","Brevoortia patronus",20.59
"NFM08-146","6","Brevoortia patronus",20.68
"NFM08-146","6","Brevoortia patronus",20.7
"NFM08-146","6","Brevoortia patronus",20.74
"NFM08-146","6","Brevoortia patronus",20.76
"NFM08-146","6","Brevoortia patronus",20.77
"NFM08-146","6","Brevoortia patronus",20.77
"NFM08-146","6","Brevoortia patronus",20.92
"NFM08-146","6","Brevoortia patronus",20.97
"NFM08-146","6","Brevoortia patronus",21.07
"NFM08-146","6","Brevoortia patronus",21.22
"NFM08-146","6","Brevoortia patronus",22.3
"NFM08-146","6","Brevoortia patronus",22.56
"NFM08-146","6","Lagodon rhomboides",11.8
"NFM08-146","6","Lagodon rhomboides",11.94
"NFM08-146","6","Lagodon rhomboides",12.22
"NFM08-146","6","Lagodon rhomboides",12.24
"NFM08-146","6","Lagodon rhomboides",12.48
"NFM08-146","6","Lagodon rhomboides",12.51
