"collection_id","site","season","year_sampled","salinity_ppt","do_mgl","water_temp_c"
"NFM08-142","2","Winter",2008,18.4,8.24,14
"NFM08-143","3","Winter",2008,17.3,7.98,14.5
"NFM08-146","6","Winter",2008,17.8,8.68,13.9
"NFM08-148","8","Winter",2008,19.3,8.52,15.2
"NFM08-151","11","Winter",2008,18.1,7.27,17.1
"NFM08-154","14","Winter",2008,19.6,9.12,18.3
"NFM08-156","2","Spring",2008,17.4,6.15,27.4
"NFM08-157","3","Spring",2008,18.7,5.8,28.2
"NFM08-160","6","Spring",2008,18.2,6.17,30
"NFM08-162","8","Spring",2008,18.7,7.16,29.1
"NFM08-165","11","Spring",2008,12.9,5.92,31.9
"NFM08-168","14","Spring",2008,16.7,7.72,31.9
"NFM08-169","2","Summer",2008,18.8,3.42,29.6
"NFM08-170","3","Summer",2008,19.2,4.12,28.6
"NFM08-173","6","Summer",2008,19.2,5.78,29.8
"NFM08-175","8","Summer",2008,20.8,5.07,30.2
"NFM08-178","11","Summer",2008,10.4,4.29,31.9
"NFM08-180","14","Summer",2008,20.5,5.81,31.5
"NFM08-184","2","Fall",2008,27.7,8.82,11.8
"NFM08-185","3","Fall",2008,28.2,9.15,12.1
"NFM08-188","6","Fall",2008,28.2,9.68,13.2
"NFM08-190","8","Fall",2008,27.5,8.9,13.2
"NFM08-193","11","Fall",2008,22.2,9.05,15
"NFM08-196","14","Fall",2008,25.7,10.86,17.9
"NFM09-198","2","Winter",2009,16.2,8.84,13
"NFM09-199","3","Winter",2009,16.5,8.92,12.8
"NFM09-203","6","Winter",2009,20.9,9.96,14.4
"NFM09-204","8","Winter",2009,25.9,7.87,14.6
"NFM09-207","11","Winter",2009,9.2,7.34,13.8
"NFM09-210","14","Winter",2009,18,9,13.3
"NFM09-212","2","Spring",2009,12.5,5.58,33.9
"NFM09-213","3","Spring",2009,14.8,5.76,26.7
"NFM09-216","6","Spring",2009,15,6.35,28.3
"NFM09-218","8","Spring",2009,12.4,7.5,29
"NFM09-221","11","Spring",2009,12.9,6.4,29.9
"NFM09-224","14","Spring",2009,14.2,8.25,30
"NFM09-226","2","Summer",2009,23.9,4.48,27.8
"NFM09-227","3","Summer",2009,24,4.61,27.8
"NFM09-230","6","Summer",2009,25.5,5.45,28.5
"NFM09-232","8","Summer",2009,24.6,4.64,28.5
"NFM09-235","11","Summer",2009,24.9,5.29,29.4
"NFM09-238","14","Summer",2009,24.9,5.64,30.3
"NFM09-240","2","Fall",2009,19.7,7,14.9
"NFM09-241","3","Fall",2009,20.7,7.61,15.2
"NFM09-244","6","Fall",2009,22.4,8,17
"NFM09-246","8","Fall",2009,21.9,8.12,16.6
"NFM09-249","11","Fall",2009,17.8,6.58,17.1
"NFM09-252","14","Fall",2009,22,7.85,18.7
"NFM10-254","2","Winter",2010,18.3,11.12,7
"NFM10-255","3","Winter",2010,14.8,12.01,7.8
"NFM10-258","6","Winter",2010,23.5,12.28,7.8
"NFM10-260","8","Winter",2010,20.1,11.2,10.2
"NFM10-263","11","Winter",2010,18.6,10.58,11.9
"NFM10-266","14","Winter",2010,19.4,11.59,13.2
"NFM10-268","2","Spring",2010,21,6.88,20.7
"NFM10-269","3","Spring",2010,21.7,6.88,20.3
"NFM10-272","6","Spring",2010,NA,NA,NA
"NFM10-274","8","Spring",2010,20.5,7.67,22.2
"NFM10-277","11","Spring",2010,20.8,6.89,24.5
"NFM10-280","14","Spring",2010,22.7,6.95,24.1
"NFM10-296","2","Summer",2010,22.9,4.19,30.2
"NFM10-297","3","Summer",2010,23.5,4.89,29.9
"NFM10-300","6","Summer",2010,25.6,4.84,30.1
"NFM10-302","8","Summer",2010,21.7,4.66,30.9
"NFM10-305","11","Summer",2010,11.1,4.96,31.6
"NFM10-308","14","Summer",2010,23.4,6.67,32.1
"NFM10-310","2","Fall",2010,27.6,6.8,20.2
"NFM10-311","3","Fall",2010,27.9,6.42,19.5
"NFM10-314","6","Fall",2010,28.5,7.22,19.8
"NFM10-316","8","Fall",2010,28.4,7.13,19.7
"NFM10-319","11","Fall",2010,27,5.7,20.7
"NFM10-322","14","Fall",2010,29.4,7.06,20.3
"NFM11-324","2","Winter",2011,26.4,9.6,12
"NFM11-325","3","Winter",2011,28.5,9.14,15.5
"NFM11-328","6","Winter",2011,28.6,8.93,19.1
"NFM11-330","8","Winter",2011,27.8,8.13,13.4
"NFM11-333","11","Winter",2011,24.9,8.46,15.1
"NFM11-336","14","Winter",2011,26.3,9.53,17.4
"NFM11-338","2","Spring",2011,21.5,3.95,26.1
"NFM11-339","3","Spring",2011,21.9,4.87,26.4
"NFM11-342","6","Spring",2011,20.2,5.63,28.5
"NFM11-344","8","Spring",2011,22.5,6.12,27.6
"NFM11-347","11","Spring",2011,18.3,4.4,29.7
"NFM11-350","14","Spring",2011,20.3,5.57,30.5
"NFM11-352","2","Summer",2011,25.6,5.32,24.2
"NFM11-353","3","Summer",2011,26.6,5.24,24.3
"NFM11-356","6","Summer",2011,26.9,7.01,23.9
"NFM11-358","8","Summer",2011,26.4,7.86,26.1
"NFM11-361","11","Summer",2011,20.8,5.13,28.2
"NFM11-364","14","Summer",2011,25.9,6.67,29.1
"NFM11-366","2","Fall",2011,27,9.5,9.6
"NFM11-367","3","Fall",2011,28,9.64,9.8
"NFM11-370","6","Fall",2011,28,10,10.5
"NFM11-372","8","Fall",2011,30,9.5,10.7
"NFM11-375","11","Fall",2011,28.5,9.36,11.21
"NFM11-378","14","Fall",2011,29.8,10.23,14.24
